Comment,Sentiment,Voice,Source or Author,Discussion
"How do you do, gentlemen, I apologize for saying this, but this topic seems me not clear enough and probably misleading in some corner cases. If I were you, I'd rewrite it from the beginning to the end and say farewell to the creative creature who created it. With kind regards, Prof. Josiah Dagobert ShnitzelptuzerJr. IV, PhD",Negative,Arrogant,Michael,
I'm totally getting crazy about this topic. Your technical writers are my crash since this day!,Positive,Informal,Michael,
I'm curious if your robotic rabbits chew on wires. Live rabbits do this often,Neutral,Neutral,Michael,
"Corectly not this work why anderstand i nou. Try i one, try i two - at all absent success. What button must i click, green or red?",Negative,Illiterate,Michael,
This help topic is completely useless and does not answer any of my questions. I'm extremely disappointed,Negative,Disappointed,ChatGPT,
"As a seasoned veteran, I found this online help topic to be an asset to my needs. The information provided was on point and the layout was user-friendly. Bravo Zulu to the team for providing such a valuable resource to the military community",Positive,Expressive,ChatGPT,"The request was: ""Please give me an example of a positive comment an aged military user could write on an online help topic. Use military words and phrases, please"""
"Very bad hiring process and unprofessional HR team. Being a software company, you should hire some good recruiting professionals, and even none of the hr team member doesn’t have polishing skills what questions have to ask from the candidate for various tech roles. Please educate your hr team first and then hire others.",Negative,Disappointed,https://embedsocial.com/blog/bad-reviews-response-templates/,This comment is not about a help topic
"Well I understand how this topic generally works, but I'm not entirely sure I understand what it means by the second paragraph? Could you elaborate more on what that means?",Negative,Confused,Delena,
This was super helpful! It makes so much more sense compared to all the other stuff I've read that tried to explain it.,Positive,Happy,Delena,
"To anyone reading this topic, I wanted to let you know that this topic is outdated. Things don't work like that anymore ever since they removed some of these features in the latest update.",Negative,Neutral,Delena,
This is outdated and someone should really update it especially when people keep getting redirected to this post even though it doesn't work like that way anymore.,Negative,Dissatisified,Delena,
Wow they explained it so clearly even an idiot could understand it,Positive,Amazed,Delena,
Can someone help me? I don't understand why my screen doesn't look like theirs does at step 5. There's no button on my screen that gives me the option they used to get there.,Neutral,Confused,Delena,
Man I wished I found this earlier. It explains exactly what I'm looking for.,Positive,Slightly regretful,Delena,
Dude where was this earlier when I needed it the first time. ,Positive,Casual,Delena,
I still don't get it??? I read another article but it contradicted this one??,Negative,Confused,Delena,
Ugh this explained everything except for what I was confused about.,Negative,Disappointed,Delena,
This explained it pretty well but it would be nice if they had explained some of the more technical terms. I'm pretty much a beginner so I didn't know what any of those acronyms meant at all.,Positive,Disappointed,Delena,
"This help topic was extremely helpful and provided clear, easy-to-understand instructions. I was able to solve my issue thanks to this resource.",Positive,Neutral,ChatGPT,"Request: ""give me a positive comment someone might write on an online help topic"""
This helpful. Thank you ,Positive,Happy,Delena,
This not make sense. How you get last oart? Mine has diffrent result.,Negative,Confused,Delena,
Do you have any recommendations on what programs are best to set this up?,Neutral,Neutral,Delena,
Can anyone redirect me to a topic that helps explain what APIs are? They mention it a lot but I'm not sure what those are?,Neutral,Confused,Delena,
Who wrote this? It sounds like they barely know anything and just wrote down the first thing they thought of without any in depth thought to any of this. Like you could at least google it and make it look like you know what you're talking about.,Negative,Condescending,Delena,
Would this work if I use VS code instead of Visual Studio? ,Neutral,Neutral,Delena,
What genius looked at their work and thought this is fine to post when it's so wrong on so many levels,Negative,Condescending,Delena,
"Wow you are really good at explaining things. Are you planning on writing an even more in depth tutorial on some of the more advanced features later too? I feel like if you write it, I'll definitely be able to understand it a lot easier than the few posts on it so far.",Positive,Admiring,Delena,
this should be pinned or something. it's supr helpful and I feel like a lot of ppl ask this queston a lot. ,Positive,Neutral,Delena,
"Thanks, this was great!",Positive,Happy,Delena,
"Thanks for nothing, this was unhelpful.",Negative,Disappointed,Delena,
Could you also give examples of what this would look like in practice?,Neutral,Neutral,Delena,
Finally! Someone who actually answered my question!,Positive,Happy,Delena,
Where wsa this when I needed it two weeks ago? Wish I found this earlier,Positive,Disappointed,Delena,
I'm so glad I found this. This perfectly answers my question,Positive,Happy,Delena,
I don't think this is accurate. It's not working for me,Negative,Disappointed,Delena,
Not helpful,Negative,Disappointed,Delena,
"The gods have finally looked upon us. At last, my question has a good answer",Positive,Dramatic,Delena,
This doesn't make any sense. I don't get why this works,Negative,Confused,Delena,
"You know, it would be more helpful if you actually explained it instead of pasting some code",Negative,Disappointed,Delena,
"Unfortunately, this explanation is outdated. They updated it and now it doesn't work like that anymore",Negative,Neutral,Delena,
Thanks for explaining!,Positive,Happy,Delena,
I don't get it,Negative,Neutral,Delena,
Is no one going to answer my questions?,Negative,Unhappy,Delena,
Very helpful,Positive,Neutral,Delena,
Unhelpful,Negative,Neutral,Delena,
Ooooh this makes so much more sense now,Positive,Neutral,Delena,
This has already been answered elsewhere,Negative,Neutral,Delena,
I'm still confused??,Negative,Confused,Delena,
The explanation has no relation to the topic name???,Negative,Confused,Delena,
What idiot wrote this?,Negative,Condescending,Delena,
How amazing. I didn't think anyone could get it this wrong,Negative,Condescending,Delena,
This is great!,Positive,Happy,Delena,
